31682094,https://www.yapo.cl/autos-usados/volkswagen-virtus-2023/31682094,VOLKSWAGEN VIRTUS 2023,,,Volkswagen,Virtus,,$10.590.000,10590000,2023,60'742,60742,Bencina
31799984,https://www.yapo.cl/autos-usados/mg-zs/31799984,MG ZS,,,MG,ZS,,$8.990.000,8990000,2021,59'000,59000,Bencina
31732531,https://www.yapo.cl/autos-nuevos/great-wall-poer-azul-ano-2025/31732531,,,,Great Wall,POER,,$16.430.687,16430687,2025,23,23,Diesel
31643445,https://www.yapo.cl/autos-usados/suzuki-dzire-2022/31643445,SUZUKI DZIRE 2022,,,Suzuki,Dzire,,$7.990.000,7990000,2022,98'400,98400,Bencina
31758006,https://www.yapo.cl/autos-usados/chevrolet-spin-2023-spin-ltz-1-8-mt-3c/31758006,Chevrolet Spin 2023 Spin Ltz 1.8 Mt 3c,,,Chevrolet,Spin,,$10.990.000,10990000,2023,70'250,70250,Bencina
31478583,https://www.yapo.cl/autos-usados/chevrolet-tracker-2024/31478583,CHEVROLET TRACKER 2024,,,Chevrolet,Tracker,,$12.490.000,12490000,2024,42'000,42000,Bencina
31449145,https://www.yapo.cl/autos-usados/maxus-t60-2023/31449145,MAXUS T60 2023,,,Maxus,T60,,$11.500.000 (Rebajado 6%),11500000,2023,108'000,108000,Diesel
31534142,https://www.yapo.cl/autos-usados/mg-zx-2023/31534142,MG ZX 2023,,,,ZX,,$10.590.000,10590000,2023,62'183,62183,Bencina
31758014,https://www.yapo.cl/autos-usados/hyundai-elantra-2021-elantra-cn7-1-6-mt-plus/31758014,Hyundai Elantra 2021 Elantra Cn7 1.6 Mt Plus,,,Hyundai,Elantra,,$11.580.000 (Rebajado 3%),11580000,2021,93'200,93200,Bencina
31606080,https://www.yapo.cl/autos-usados/renault-express-2023/31606080,RENAULT EXPRESS 2023,,,Renault,Express,,$9.200.000,9200000,2023,64'730,64730,Diesel
31295682,https://www.yapo.cl/autos-usados/opel-corsa-2021/31295682,OPEL CORSA 2021,,,Opel,Corsa,,$8.990.000 (Rebajado 9%),8990000,2021,40'931,40931,Bencina
