modelo_filtro,brand,model,version,precio_desde_texto,precio_desde,precio_lista,bono_directo,bono_financiamiento,cotizar_url
MAZDA 3 SPORT,MAZDA,MAZDA 3 SPORT,CORE 2.0 7G 6AT,$22.890.000*,22890000,24690000,800000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAJLAM
MAZDA 3 SPORT,MAZDA,MAZDA CX-30,CORE 2.0 2WD 6AT 7G,$23.390.000*,23390000,24090000,,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DSACLAJ
MAZDA 3 SPORT,MAZDA,MAZDA CX-5,CORE 2.0 2WD 6AT,$23.590.000*,23590000,24990000,400000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-5&id_version=KGTJLAC
MAZDA 3,MAZDA,MAZDA 3 SPORT,ENTRY 2.0 7G 6MT,$18.890.000*,18890000,20890000,1000000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAELAB
MAZDA 3,MAZDA,MAZDA 3,ENTRY 2.0 7G 6MT,$18.890.000*,18890000,20490000,600000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SEDAN&id_version=BHVVLAB
MAZDA 3,MAZDA,MAZDA CX-3,CORE 2.0 MT,$18.990.000*,18990000,19790000,100000,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DNHBLAA
MAZDA 3,MAZDA,MAZDA CX-3,CORE 2.0 6AT,$19.490.000*,19490000,20590000,400000,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DNHCLAU
MAZDA 3,MAZDA,MAZDA 3,CORE 2.0 7G 6MT,$20.990.000*,20990000,21990000,,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SEDAN&id_version=BHVVLAD
MAZDA 3,MAZDA,MAZDA 3 SPORT,CORE 2.0 7G 6MT,$21.390.000*,21390000,22590000,200000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAELAD
MAZDA 3,MAZDA,MAZDA CX-30,ENTRY 2.0 2WD AT 7G,$22.290.000*,22290000,22990000,,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DSACLAF
MAZDA 3,MAZDA,MAZDA CX-30,CORE 2.0 2WD 6MT 7G,$22.690.000*,22690000,23390000,,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DSABLAC
MAZDA 3,MAZDA,MAZDA 3 SPORT,CORE 2.0 7G 6AT,$22.890.000*,22890000,24690000,800000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAJLAM
MAZDA BT-50,MAZDA,MAZDA 3 SPORT,ENTRY 2.0 7G 6MT,$18.890.000*,18890000,20890000,1000000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAELAB
MAZDA BT-50,MAZDA,MAZDA 3,ENTRY 2.0 7G 6MT,$18.890.000*,18890000,20490000,600000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SEDAN&id_version=BHVVLAB
MAZDA BT-50,MAZDA,MAZDA CX-3,CORE 2.0 MT,$18.990.000*,18990000,19790000,100000,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DNHBLAA
MAZDA BT-50,MAZDA,MAZDA CX-3,CORE 2.0 6AT,$19.490.000*,19490000,20590000,400000,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DNHCLAU
MAZDA BT-50,MAZDA,MAZDA 3,CORE 2.0 7G 6MT,$20.990.000*,20990000,21990000,,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SEDAN&id_version=BHVVLAD
MAZDA BT-50,MAZDA,MAZDA 3 SPORT,CORE 2.0 7G 6MT,$21.390.000*,21390000,22590000,200000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAELAD
MAZDA BT-50,MAZDA,MAZDA CX-30,ENTRY 2.0 2WD AT 7G,$22.290.000*,22290000,22990000,,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DSACLAF
MAZDA BT-50,MAZDA,MAZDA CX-30,CORE 2.0 2WD 6MT 7G,$22.690.000*,22690000,23390000,,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DSABLAC
MAZDA BT-50,MAZDA,MAZDA 3 SPORT,CORE 2.0 7G 6AT,$22.890.000*,22890000,24690000,800000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAJLAM
MAZDA MX-5,MAZDA,MAZDA 3 SPORT,ENTRY 2.0 7G 6MT,$18.890.000*,18890000,20890000,1000000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAELAB
MAZDA MX-5,MAZDA,MAZDA 3,ENTRY 2.0 7G 6MT,$18.890.000*,18890000,20490000,600000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SEDAN&id_version=BHVVLAB
MAZDA MX-5,MAZDA,MAZDA CX-3,CORE 2.0 MT,$18.990.000*,18990000,19790000,100000,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DNHBLAA
MAZDA MX-5,MAZDA,MAZDA CX-3,CORE 2.0 6AT,$19.490.000*,19490000,20590000,400000,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DNHCLAU
MAZDA MX-5,MAZDA,MAZDA 3,CORE 2.0 7G 6MT,$20.990.000*,20990000,21990000,,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SEDAN&id_version=BHVVLAD
MAZDA MX-5,MAZDA,MAZDA 3 SPORT,CORE 2.0 7G 6MT,$21.390.000*,21390000,22590000,200000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAELAD
MAZDA MX-5,MAZDA,MAZDA CX-30,ENTRY 2.0 2WD AT 7G,$22.290.000*,22290000,22990000,,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DSACLAF
MAZDA MX-5,MAZDA,MAZDA CX-30,CORE 2.0 2WD 6MT 7G,$22.690.000*,22690000,23390000,,700000,https://www.mazda.cl/formulario/cotizacion/?id_model=CX-30&id_version=DSABLAC
MAZDA MX-5,MAZDA,MAZDA 3 SPORT,CORE 2.0 7G 6AT,$22.890.000*,22890000,24690000,800000,1000000,https://www.mazda.cl/formulario/cotizacion/?id_model=3SPORT&id_version=BJAJLAM
